id,name,party
UvdL,Ursula von der Leyen,CDU
LK,Lars Klingbeil,SPD
NR,Norbert Röttgen,CDU
SW,Sarah Wagenknecht,Die Linke
CS,Constanze Stelzenmüller,na
CL,Christian Lindner,FDP
KS,Karl Schlögel,na
LM,Ljudmyla Melnyk,na
KD,Kristina Dunz,na
EL,Egils Levits,na
AB,Annalena Baerbock,Die Grünen
FT,Frans Timmermans,na
AM,Andrij Melnyk,na
AGL,Alexander Graf Lambsdorf,FDP
EG,Egon Ramms,na
RH,Robert Habeck ,Die Grünen
CM,Claudia Major,na
KP,Katja Petrowskaja,na
RK,Roderich Kiesewetter,CDU
500,Folge 500,na
501,Folge 501,na
502,Folge 502,na
503,Folge 503,na
CDU,CDU,CDU
SPD,SPD,SPD
FDP,FDP,FDP
Die Linke,Die Linke,Die Linke
Die Grünen,Die Grünen,Die Grünen
